imdbid,title,production_company
4871980.0,The Perfect Match,Lionsgate
4871980.0,The Perfect Match,Jorva Entertainment Productions
1540011.0,Blair Witch,Vertigo Entertainment
1540011.0,Blair Witch,Lionsgate
1540011.0,Blair Witch,Room 101
1540011.0,Blair Witch,Snoot Entertainment
4682786.0,Collateral Beauty,Village Roadshow Pictures
4682786.0,Collateral Beauty,Likely Story
4682786.0,Collateral Beauty,Anonymous Content
4682786.0,Collateral Beauty,New Line Cinema
4682786.0,Collateral Beauty,PalmStar Media
4682786.0,Collateral Beauty,Overbrook Entertainment
1860213.0,Dirty Grandpa,Covert Media
1860213.0,Dirty Grandpa,Lionsgate
1860213.0,Dirty Grandpa,BillBlock Media
1860213.0,Dirty Grandpa,QED International
1860213.0,Dirty Grandpa,Josephson Entertainment
1860213.0,Dirty Grandpa,Ninjas Runnin' Wild Productions
5662932.0,Raman Raghav 2.0,Phantom Films
6162808.0,Miss Saigon,Cameron Mackintosh Ltd.
6162808.0,Miss Saigon,Universal Pictures
6162808.0,Miss Saigon,Steam Motion & Sound
6162808.0,Miss Saigon,Serpent Films
2345759.0,The Mummy,Secret Hideout
2345759.0,The Mummy,Universal Pictures
2345759.0,The Mummy,Dark Universe
2345759.0,The Mummy,Sean Daniel Company
2345759.0,The Mummy,Perfect World Pictures
2345759.0,The Mummy,dentsu
5390504.0,Detroit,Annapurna Pictures
5390504.0,Detroit,First Light
5390504.0,Detroit,Page 1
